ID,Jornada,Tela / etapa,Elemento,Texto atual,Texto recomendado,Decisão,Prioridade,Critério aplicado,Condição de exibição,Natureza,Arquivo-fonte
94,Diagnóstico guiado,Seleção de situação,Descrição da situação,A conexão para de funcionar ou fica instável por alguns segundos,A conexão para de funcionar ou oscila por alguns segundos.,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
95,Diagnóstico guiado,Seleção de situação,Título da situação,Vídeos travam ou dão buffer,Vídeos travam ou ficam carregando,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
96,Diagnóstico guiado,Seleção de situação,Descrição da situação,"Streaming trava, fica ""carregando"" ou perde qualidade sozinho","Os vídeos travam, ficam carregando ou perdem qualidade.",Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
97,Diagnóstico guiado,Seleção de situação,Título da situação,Jogos com lag ou ping alto,Jogos atrasam ou travam,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
98,Diagnóstico guiado,Seleção de situação,Descrição da situação,"Atraso, travadas ou desconexões durante partidas online","Há atrasos, travadas ou quedas durante as partidas.",Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
99,Diagnóstico guiado,Seleção de situação,Título da situação,Chamadas de vídeo congelam,Chamadas de vídeo travam,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
100,Diagnóstico guiado,Seleção de situação,Descrição da situação,"Imagem trava, áudio corta ou a chamada cai","A imagem trava, o áudio corta ou a chamada cai.",Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
101,Diagnóstico guiado,Seleção de situação,Título da situação,Sites demoram para carregar,Sites demoram para abrir,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
102,Diagnóstico guiado,Seleção de situação,Descrição da situação,"Páginas demoram, ficam ""girando"" ou falham ao abrir",As páginas demoram ou não conseguem abrir.,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
103,Diagnóstico guiado,Seleção de situação,Título da situação,Velocidade não chega no contratado,A velocidade está abaixo do plano,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
104,Diagnóstico guiado,Seleção de situação,Descrição da situação,O teste mostra menos do que você paga pela sua operadora,O teste mostra uma velocidade menor que a do seu plano.,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
105,Diagnóstico guiado,Seleção de situação,Título da situação,Não sei se é o Wi-Fi ou a operadora,Não sei onde está o problema,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
106,Diagnóstico guiado,Seleção de situação,Descrição da situação,Quer descobrir se o problema é do roteador ou da internet contratada,Vamos verificar se o problema está no Wi-Fi ou na operadora.,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
107,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Pergunta,Quando isso costuma acontecer?,Quando isso costuma acontecer?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
108,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,A qualquer momento,A qualquer momento,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
109,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,Em horários de pico,Em horários de pico,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
110,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,"Só durante uso pesado (jogos, streaming)",Quando várias pessoas ou aplicativos usam a internet,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
111,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,Só em alguns cômodos da casa,Só em alguns cômodos da casa,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
112,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Pergunta,O que você percebe quando acontece?,O que você percebe quando acontece?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
113,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,O Wi-Fi some da lista de redes,A rede Wi-Fi desaparece,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
114,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,Continua conectado mas trava,"Continua conectado, mas a internet para",Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
115,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,Desconecta e reconecta sozinho,Desconecta e reconecta sozinho,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
116,Diagnóstico guiado,Perguntas · Internet cai ou oscila,Opção,Não sei dizer,Não sei dizer,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
117,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Pergunta,O que acontece quando o vídeo trava?,O que acontece quando o vídeo trava?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
118,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,"Fica ""carregando"" (buffer)",Fica carregando,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
119,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,Cai a qualidade sozinho,Cai a qualidade sozinho,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
120,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,Trava e o app fecha,O vídeo trava e o aplicativo fecha,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
121,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,Só em determinado app,Só em determinado aplicativo,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
122,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Pergunta,Isso acontece em qual conexão?,Isso acontece em qual conexão?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
123,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,Wi-Fi,Wi-Fi,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
124,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,Dados móveis,Dados móveis,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
125,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,Nas duas,Nas duas,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
126,Diagnóstico guiado,Perguntas · Vídeos travam ou dão buffer,Opção,Só percebi agora,Ainda não consegui comparar,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
127,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Pergunta,Em qual conexão você joga?,Em qual conexão você joga?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
128,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Opção,Wi-Fi,Wi-Fi,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
129,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Opção,Cabo de rede,Cabo de rede,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
130,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Opção,Dados móveis,Dados móveis,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
131,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Pergunta,Com que frequência isso acontece?,Com que frequência isso acontece?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
132,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Opção,"Direto, quase sempre",Quase sempre,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
133,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Opção,Só em horário de pico,Só em horário de pico,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
134,Diagnóstico guiado,Perguntas · Jogos com lag ou ping alto,Opção,"De vez em quando, sem padrão","De vez em quando, sem padrão",Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
135,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Pergunta,O que costuma acontecer na chamada?,O que costuma acontecer na chamada?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
136,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,"Imagem congela, áudio segue","A imagem trava, mas o áudio continua",Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
137,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,Áudio corta ou fica robótico,O áudio corta ou fica distorcido,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
138,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,A chamada cai e reconecta,A chamada cai e reconecta,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
139,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,Os dois travam juntos,A imagem e o áudio travam,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
140,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Pergunta,Piora se outra pessoa em casa também estiver usando a internet?,Piora se outra pessoa em casa também estiver usando a internet?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
141,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,"Sim, bastante","Sim, bastante",Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
142,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,Um pouco,Um pouco,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
143,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,Não muda,Não muda,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
144,Diagnóstico guiado,Perguntas · Chamadas de vídeo congelam,Opção,Não testei,Ainda não testei,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
145,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Pergunta,Isso acontece com...,Isso acontece em quais sites?,Ajustar,Média,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
146,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Opção,Qualquer site,Qualquer site,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
147,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Opção,Só sites específicos,Só sites específicos,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
148,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Opção,Só a primeira página (depois melhora),Só na primeira página. Depois melhora.,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
149,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Pergunta,O problema é mais forte em qual conexão?,O problema é mais forte em qual conexão?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
150,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Opção,Wi-Fi,Wi-Fi,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
151,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Opção,Dados móveis,Dados móveis,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
152,Diagnóstico guiado,Perguntas · Sites demoram para carregar,Opção,Nas duas igual,Nas duas igual,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
153,Diagnóstico guiado,Perguntas · Velocidade não chega no contratado,Pergunta,Você já comparou com outro teste?,Você já comparou com outro teste?,Manter,Baixa,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
154,Diagnóstico guiado,Perguntas · Velocidade não chega no contratado,Opção,Só testei pelo SignallQ,Testei apenas no SignallQ,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
155,Diagnóstico guiado,Perguntas · Velocidade não chega no contratado,Opção,Comparei com outro app ou site,Comparei com outro aplicativo ou site,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
156,Diagnóstico guiado,Perguntas · Velocidade não chega no contratado,Pergunta,Este teste foi feito...,Como você fez este teste?,Ajustar,Média,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
157,Diagnóstico guiado,Perguntas · Velocidade não chega no contratado,Opção,"Perto do roteador, por cabo",Com um cabo de rede,Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
158,Diagnóstico guiado,Perguntas · Velocidade não chega no contratado,Opção,"Perto do roteador, por Wi-Fi","Perto do roteador, pelo Wi-Fi",Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
159,Diagnóstico guiado,Perguntas · Velocidade não chega no contratado,Opção,"Longe do roteador, por Wi-Fi","Longe do roteador, pelo Wi-Fi",Ajustar,Média,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
160,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Pergunta,O problema muda se você desligar o Wi-Fi e usar dados móveis?,A internet melhora quando você desliga o Wi-Fi e usa a rede móvel?,Ajustar,Média,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
161,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Opção,"Sim, melhora muito","Sim, melhora muito",Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
162,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Opção,"Sim, um pouco","Sim, um pouco",Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
163,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Opção,Não muda nada,Não muda nada,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
164,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Opção,Ainda não testei,Ainda não testei,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
165,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Pergunta,Outros dispositivos em casa têm o mesmo problema?,Outros aparelhos também apresentam esse problema?,Ajustar,Média,Clareza e objetividade,Roteiro da situação,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
166,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Opção,"Sim, todos","Sim, todos",Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
167,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Opção,Só alguns,Só alguns,Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
168,Diagnóstico guiado,Perguntas · Não sei se é o Wi-Fi ou a operadora,Opção,"Não, só este aparelho","Não, só este aparelho",Manter,Baixa,Clareza e objetividade,Pergunta correspondente,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
169,Diagnóstico guiado,Resultado,Seção,Como chegamos a esse resultado,Como identifiquei isso,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
170,Diagnóstico guiado,Resultado,Rótulo,MEDIDO PELO MOTOR SIGNALLQ,DADOS MEDIDOS PELO SIGNALLQ,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
171,Diagnóstico guiado,Resultado,Fallback,Sem métricas suficientes deste teste para esta situação.,Este teste não trouxe dados suficientes para avaliar essa situação.,Ajustar,Média,Clareza e objetividade,Sem evidências,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
172,Diagnóstico guiado,Resultado,Rótulo,EXPLICADO POR IA,EXPLICAÇÃO DO RESULTADO,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
173,Diagnóstico guiado,Resultado,Loading,Preparando a explicação…,Preparando uma explicação simples…,Ajustar,Média,Clareza e objetividade,IA inativa ou analisando,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
174,Diagnóstico guiado,Resultado,Texto dinâmico,{resumo ou texto da explicação gerada pela IA/fallback local},{resumo ou texto da explicação gerada pela IA/fallback local},Definir regra,Alta,"Aplicar estas mesmas regras no prompt, fallback ou conteúdo externo",IA concluída,Dinâmico IA,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
175,Diagnóstico guiado,Resultado,Erro,Não foi possível carregar a explicação da IA — o resultado acima já reflete o motor local.,Não consegui carregar a explicação. O resultado acima continua válido.,Ajustar,Média,Preservar incerteza,Falha da IA,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
176,Diagnóstico guiado,Resultado,Nota de transparência,"A IA só explica o resultado — quem decide o status é sempre o motor de diagnóstico local, com base nos números medidos acima.",A explicação ajuda a entender o resultado. A avaliação é feita com os dados medidos no seu aparelho.,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
177,Diagnóstico guiado,Resultado,Seção,Ações recomendadas,O que fazer agora,Ajustar,Média,Clareza e objetividade,Quando há ações,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/component/DiagnosticoResultadoComponents.kt
178,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Perda estimada: {valor}%,Falhas estimadas na conexão: {valor}%,Ajustar,Média,Preservar incerteza,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
179,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Oscilação (jitter): {valor} ms,Variação da conexão: {valor} ms,Ajustar,Alta,Simplificar termo técnico,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
180,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Atraso sob carga: {valor} ms,Lentidão com a rede ocupada: {valor} ms,Ajustar,Média,Clareza e objetividade,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
181,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Download: {valor} Mbps,Download: {valor} Mbps,Manter,Baixa,Clareza e objetividade,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
182,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Latência sob carga: {valor} ms,Tempo de resposta com a rede ocupada: {valor} ms,Ajustar,Média,Simplificar termo técnico,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
183,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Jitter: {valor} ms,Variação do tempo de resposta: {valor} ms,Ajustar,Alta,Simplificar termo técnico,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
184,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Sinal Wi-Fi: {RSSI} dBm,Força do sinal Wi-Fi: {RSSI} dBm,Ajustar,Alta,Simplificar termo técnico,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
185,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Upload: {valor} Mbps,Upload: {valor} Mbps,Manter,Baixa,Clareza e objetividade,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
186,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Latência DNS: {valor} ms,Tempo para localizar sites: {valor} ms,Ajustar,Média,Simplificar termo técnico,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
187,Diagnóstico guiado,Resultado · Evidências,Rótulo/valor,Latência geral: {valor} ms,Tempo de resposta: {valor} ms,Ajustar,Média,Simplificar termo técnico,Conforme situação e dados disponíveis,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/DiagnosticoGuiadoEngine.kt
